sentence,gt
সচরাচর প্রতীকগুলি বিশ্বাস ও ভালবাসার প্রচণ্ড শক্তি স্ফুরণ করে।,সচরাচর $প্রতীকগুলি$ বিশ্বাস ও ভালবাসার প্রচণ্ড শক্তি স্ফুরণ করে।
বিজ্ঞপ্তি প্রকাশিত হওয়ায় এখন দুটি মামলার বিচারকাজ সিলেট বিশেষ ট্রাইব্যুনালে চলবে।,বিজ্ঞপ্তি প্রকাশিত হওয়ায় এখন দুটি মামলার বিচারকাজ সিলেট বিশেষ $ট্রাইব্যুনালে$ চলবে।
"করছিস কী তুই, ভোদাই?","করছিস কী তুই, ভোদাই?"
এ ঘটনা ছিল হযরত আলীর জন্য খুবই হতাশাজনক।,এ ঘটনা ছিল হযরত আলীর জন্য খুবই হতাশাজনক।
এভাবেই বিভিন্ন ঘটনার মধ্য দিয়ে এগিয়ে যায় স্যান আন্দ্রেয়াস ছবির গল্প।,এভাবেই বিভিন্ন ঘটনার মধ্য দিয়ে এগিয়ে যায় স্যান আন্দ্রেয়াস ছবির গল্প।
"তিন্নি যখন তাঁর পেটে, সে-সময় কি তাঁর জামান মিজেলস হয়েছিল?","তিন্নি যখন তাঁর পেটে, $সে-সময়$ কি তাঁর জামান মিজেলস হয়েছিল?"
আদালতে প্রথমে জামিন নামঞ্জুর হলেও দুই ঘণ্টা পর তিনি জামিন পান।,আদালতে প্রথমে জামিন নামঞ্জুর হলেও দুই ঘণ্টা পর তিনি জামিন পান।
মাদারচুদ পিবিআই বলে কিরে ওর কাছে নাকি রিভলভার আছে,$মাদারচুদ$ পিবিআই বলে$$ $কিরে$ ওর কাছে নাকি রিভলভার আছে$$
তিনি উজবেক পুনরায় জয় করতে সমর্থ হন।,তিনি উজবেক পুনরায় জয় করতে সমর্থ হন।
এইরকম শরীরলোভীদের হাত থেকে তোমাকে বাঁচতে হবে।,এইরকম শরীরলোভীদের হাত থেকে তোমাকে বাঁচতে হবে।
পরদিন ভোর সাড়ে চারটার দিকে তিনি ভান্ডারিয়া শহরে নিজ বাসভবনে মারা যান।,পরদিন ভোর সাড়ে চারটার দিকে তিনি ভান্ডারিয়া শহরে নিজ বাসভবনে মারা যান।
তারপর ম্যাডাম শুরু করলো তার সেন্সেটিভ লাইফ হিস্ট্রি।,তারপর ম্যাডাম শুরু $করলো$ তার সেন্সেটিভ লাইফ হিস্ট্রি।
আমাদের একজন ডাক্তার দরকার!,আমাদের একজন ডাক্তার দরকার$!$
"রাজা চোখ টিপিয়া জিজ্ঞাসা করিলেন, তার পরে?","রাজা চোখ টিপিয়া জিজ্ঞাসা করিলেন, তার পরে?"
ঘোষিত-অঘোষিত সম্পদের বর্তমান মূল্য হিসাব করলে কোটিপতির সংখ্যা আরও বাড়তে পারে।,ঘোষিত-অঘোষিত সম্পদের বর্তমান মূল্য হিসাব করলে কোটিপতির সংখ্যা আরও বাড়তে পারে।
এটি একটি গ্যাসোলিন-বৈদ্যুতিক হাইব্রিড ইঞ্জিন দ্বারা দীর্ঘ এবং চালিত হয়।,এটি একটি গ্যাসোলিন-বৈদ্যুতিক হাইব্রিড ইঞ্জিন দ্বারা দীর্ঘ এবং চালিত হয়।
"প্রথমত জল একটু কম্পিত হইয়া উঠে, পরক্ষণেই তরঙ্গাকারে প্রতিক্রিয়া করে।","প্রথমত$$ জল একটু কম্পিত $হইয়া$ উঠে, পরক্ষণেই তরঙ্গাকারে প্রতিক্রিয়া করে।"
"যাহা মনে আসে, তাহা প্রবল ইচ্ছাশক্তি সহায়ে বিশ্লেষণ করিয়া নিরস্ত কর।","$যাহা$ মনে আসে, $তাহা$ প্রবল ইচ্ছাশক্তি $সহায়ে$ বিশ্লেষণ $করিয়া$ নিরস্ত $কর$।"
যিহোবা হলেন এই নামের এক খ্রীষ্টীয় ইংরেজি উচ্চারণ।,যিহোবা হলেন এই নামের এক $খ্রীষ্টীয়$ ইংরেজি উচ্চারণ।
"আমার নিজের অবস্থা যে কী তখন, তা পাঠককে আর নাই বা বুঝিয়ে বললাম।","আমার নিজের অবস্থা যে কী তখন, তা পাঠককে আর নাই বা বুঝিয়ে বললাম।"
ওখানে গিয়ে দুষ্ট হয়ে গেছিস।,ওখানে গিয়ে দুষ্ট হয়ে গেছিস।
তুই চা মাগির বাচ্চা তর নাটক,তুই চা $মাগির$ বাচ্চা $তর$ নাটক$$$
আমার পথ ছেড়ে দাও সম্পূর্ণ নিরাপদ থাকবে।,আমার পথ ছেড়ে দাও$$ সম্পূর্ণ নিরাপদ থাকবে।
সর্বমোট এগারোটি একদিনের আন্তর্জাতিকে অংশ নিয়েছেন তিনি।,সর্বমোট এগারোটি একদিনের আন্তর্জাতিকে অংশ নিয়েছেন তিনি।
কাদের সাহেব মানিব্যাগ খুলে অনেক চিন্তা-ভাবনা করে একটা দশ টাকার নোট বের করলেন।,কাদের সাহেব মানিব্যাগ খুলে অনেক চিন্তা-ভাবনা করে একটা দশ টাকার নোট বের করলেন।
কিন্তু টাকায় হিসেব করা যায় না।,কিন্তু টাকায় হিসেব করা যায় না।
"একটা ট্যাক্সি পার্কের গেটে দাঁড়ালো, সেটার দরজা খুলে ক্লারা নেমে এলো।","একটা ট্যাক্সি পার্কের গেটে দাঁড়ালো, সেটার দরজা খুলে ক্লারা নেমে এলো।"
আচ্ছা ভাই বিশ্বাস করেন।,আচ্ছা ভাই বিশ্বাস করেন।
"তিনি স্টার ম্যাজিকের অধীনে ""দ্য স্টোলেন ডিভা"" নামে পরিচিত।","তিনি স্টার ম্যাজিকের অধীনে ""দ্য স্টোলেন ডিভা"" নামে পরিচিত।"
তার ছোট ভাই মে মাসে মৃত্যুবরণ করে।,তার $ছোট$ ভাই মে মাসে মৃত্যুবরণ করে।
তাই অনেক সাবধানে ফিসফিস করে কথা বলছে সবাই।,তাই অনেক সাবধানে ফিসফিস করে কথা বলছে সবাই।
লোকটির চেহারা অর্ধেকের বেশি নষ্ট ছিল!,লোকটির চেহারা অর্ধেকের বেশি নষ্ট ছিল!
দেখতে দেখতে আমাদের অপেক্ষার প্রহর আধ ঘন্টার বেশি হয়ে গেলেও তার না আসাতে আমরা বিরক্ত হয়ে পড়লাম।,দেখতে দেখতে আমাদের অপেক্ষার প্রহর আধ $ঘন্টার$ বেশি হয়ে গেলেও তার না আসাতে আমরা বিরক্ত হয়ে পড়লাম।
আজ কদিন হলো শাহিন তাকে নিয়ে এসেছে শাহিনের ভাড়া বাড়িতে।,আজ কদিন হলো শাহিন তাকে নিয়ে এসেছে শাহিনের ভাড়া বাড়িতে।
মানুষ না দেখে যা বিশ্বাস করে তাই ধর্ম।,মানুষ না দেখে যা বিশ্বাস করে তাই ধর্ম।
এছাড়াও তিনি সেহওয়াক দলের সাবেক খেলোয়াড়।,এছাড়াও তিনি সেহওয়াক দলের সাবেক খেলোয়াড়।
যখন বসন্ত রায়ের কথা শেষ হইল তখন তিনি ধীরে ধীরে উঠিয়া চলিয়া গেলেন।,যখন বসন্ত রায়ের কথা শেষ $হইল$$$ তখন তিনি ধীরে ধীরে $উঠিয়া$ $চলিয়া$ গেলেন।
খুব মজা হবে।,খুব মজা হবে।
স্টেশনটি দেগু সাবওয়েতে রেল পরিষেবা প্রদান করে।,স্টেশনটি দেগু সাবওয়েতে রেল পরিষেবা প্রদান করে।
আমি চোদ্দ বছর বয়সে এনট্রেন্স পাস করেছিলুম।,আমি $চোদ্দ$ বছর বয়সে এনট্রেন্স পাস $করেছিলুম$।
তবে এই সিদ্ধান্তটি মাত্র ফেডারেল পর্যায়েই প্রযোজ্য ছিল।,তবে এই সিদ্ধান্তটি মাত্র ফেডারেল পর্যায়েই প্রযোজ্য ছিল।
"দীর্ঘ আলোচনার পর কোন সিদ্ধান্তে পৌঁছাতে না পেরে উভয় সালিশকারি এই অভিমত প্রকাশ করলেন যে, হযরত আলী ও মুয়াবিয়া উভয়কেই ক্ষমতা থেকে পদচ্যুত করা হবে এবং এরপর মুসলমানরা মিলে সংখ্যাগরিষ্ঠের মতামতের ভিত্তিতে নতুন খলিফা নির্বাচন করবে।","দীর্ঘ আলোচনার পর $কোন$ সিদ্ধান্তে পৌঁছাতে না পেরে উভয় $সালিশকারি$ এই অভিমত প্রকাশ করলেন যে, হযরত আলী ও মুয়াবিয়া উভয়কেই ক্ষমতা থেকে পদচ্যুত করা হবে এবং এরপর মুসলমানরা মিলে সংখ্যাগরিষ্ঠের মতামতের ভিত্তিতে নতুন খলিফা নির্বাচন করবে।"
"অন্যান্য লসিকাগ্রন্থির মতো, ভাষাগত টনসিলের কাজ হল সংক্রমণ প্রতিরোধ করা।","অন্যান্য লসিকাগ্রন্থির মতো, ভাষাগত টনসিলের কাজ $হল$ সংক্রমণ প্রতিরোধ করা।"
ঈদ সামনে রেখে বড় বড় বিপণিবিতানসহ গুরুত্বপূর্ণ স্থানে হামলার পরিকল্পনা করে আসছিল।,$ঈদ$ সামনে রেখে $বড়$ $বড়$ বিপণিবিতানসহ গুরুত্বপূর্ণ স্থানে হামলার পরিকল্পনা করে আসছিল।
তারপর তোমরা ব্রেকাপ করেছিলে?,তারপর তোমরা ব্রেকাপ করেছিলে?
"ওহ, সে তোমাকে এড়িয়ে যাওয়ার চেষ্টা করছে।","ওহ, সে তোমাকে এড়িয়ে যাওয়ার চেষ্টা করছে।"
"ধরা যাক, একজন স্ত্রী তার স্বামীর আয় থেকে তার শ্বশুরবাড়ীতে টাকা দেয়া পছন্দ করেন না।","ধরা যাক, একজন স্ত্রী তার স্বামীর আয় থেকে তার $শ্বশুরবাড়ীতে$ টাকা দেয়া পছন্দ করেন না।"
আমরা জাস্ট সেই বড় খবরের ব্যাপারে কথা বলছি।,আমরা জাস্ট সেই $বড়$ খবরের ব্যাপারে কথা বলছি।
আঘাতের পর আঘাত করে নিজেকে ও অন্যদেরকে হেফাজত করছেন।,আঘাতের পর আঘাত করে নিজেকে ও অন্যদেরকে হেফাজত করছেন।
ছেলেরা সর্বদা তাদের মায়ের কোলেই ফিরে আসে।,ছেলেরা সর্বদা তাদের মায়ের কোলেই ফিরে আসে।
ধন্যবাদ আমার ভাঙ্গাচুরা সাব দিয়ে মুভিটি দেখার জন্য।,ধন্যবাদ $আমার$ $ভাঙ্গাচুরা$ সাব দিয়ে মুভিটি $দেখার$ জন্য।
এটি যুগ সৃষ্টিকারী ঘটনার তারিখগুলির মতো এন্ট্রিগুলিতে দেখা যেতে পারে।,এটি যুগ সৃষ্টিকারী ঘটনার $তারিখগুলির$ মতো $এন্ট্রিগুলিতে$ দেখা যেতে পারে।
তিনি তার চাচার বড় মেয়ে জামিলা খাতুনকে বিয়ে করেন।,তিনি তার চাচার বড় মেয়ে জামিলা খাতুনকে বিয়ে করেন।
এমনিতে প্রতি টুর্নামেন্টে ধোনির একটা ফাঁড়ার ম্যাচ থাকে বলে একটা কথা প্রচলিত আছে।,এমনিতে প্রতি টুর্নামেন্টে ধোনির একটা ফাঁড়ার ম্যাচ থাকে বলে একটা কথা প্রচলিত আছে।
"আর তুমি যখন ইচ্ছা, তখনই আমার পিঠে চড়তে পারবে।","আর তুমি যখন ইচ্ছা, তখনই আমার পিঠে চড়তে পারবে।"
তোর এই সকল বিবরণ লাগবে কেন?,তোর এই সকল বিবরণ লাগবে কেন?
অধিকাংশ কৃষক জাও ধান চাষ করে।,অধিকাংশ কৃষক $জাও$ ধান চাষ করে।
এটি ছাড়াও এবারের ঈদে তাঁকে আরও কয়েকটি নাটকে অভিনয় করতে দেখা যাবে।,এটি ছাড়াও এবারের $ঈদে$ তাঁকে আরও কয়েকটি নাটকে অভিনয় করতে দেখা যাবে।
"মানুষ কতোটা অকৃতজ্ঞ , কাঠের বেঞ্চ নাকি বাচিয়ে দিয়েছে,নাউজুবিল্লাহ ! আল্লাহ না চাইলে কেউ বাচানোর ক্ষমতা রাখে না।","মানুষ কতোটা অকৃতজ্ঞ$$ $,$ কাঠের বেঞ্চ নাকি $বাচিয়ে$ দিয়েছে$,$নাউজুবিল্লাহ$ $! আল্লাহ না চাইলে কেউ $বাচানোর$ ক্ষমতা রাখে না।"
প্রত্যাদিষ্ট পুরুষ গড়িবার এই বিরাট কাজ আমাদের সম্মুখে বর্তমান।,প্রত্যাদিষ্ট পুরুষ $গড়িবার$ এই বিরাট কাজ আমাদের সম্মুখে বর্তমান।
এমন মানুষের ঈমান জানার জন্য কোন ঈমানী পরীক্ষা নেয়া লাগে না শুধু তাকে একটা দিন পর্যবেক্ষন করলেই হয়।,এমন মানুষের $ঈমান$ জানার জন্য $কোন$ $ঈমানী$ পরীক্ষা নেয়া লাগে না$$ শুধু তাকে একটা দিন পর্যবেক্ষন করলেই হয়।
"আচ্ছা এতো ধর্ষন বেড়েছে চারিদিকে, খেয়াল করেছেন?","আচ্ছা $এতো$ ধর্ষন বেড়েছে চারিদিকে, খেয়াল করেছেন?"
আর নোটবই দেখে ঠিকানাটা রিকশাওয়ালাকে ভালো করে বুঝিয়ে দিন।,আর নোটবই দেখে ঠিকানাটা রিকশাওয়ালাকে ভালো করে বুঝিয়ে দিন।
"স্যার, এখান থেকে বেরোনোর কোনো পথ নেই?","স্যার, এখান থেকে বেরোনোর কোনো পথ নেই?"
বাবা অধ্যাপক তোফাজ্জল হোসেন সরকার ঢাকা কলেজের পদার্থবিজ্ঞান বিভাগের শিক্ষক ছিলেন।,বাবা অধ্যাপক তোফাজ্জল হোসেন সরকার ঢাকা কলেজের পদার্থবিজ্ঞান বিভাগের শিক্ষক ছিলেন।
তিনি শব্দ করে থুথু ফেললেন।,তিনি শব্দ করে থুথু ফেললেন।
নাকি তুমি হেরেছ?,$নাকি$ তুমি হেরেছ?
আমরা সাওভ্যাজের সদরদপ্তরে হানা দিব।,আমরা সাওভ্যাজের সদরদপ্তরে হানা দিব।
তুমি ঠিকই পপকন নিয়ে আসছো।,তুমি ঠিকই $পপকন$ নিয়ে $আসছো$।
পোস্টার আর ব্যানার নির্ধারিত জায়গায় লাগাতে হবে।,পোস্টার আর ব্যানার নির্ধারিত জায়গায় লাগাতে হবে।
আজকাল মোটরে বেড়াতে সে যতীকে ডাক পাড়ে না।,আজকাল মোটরে বেড়াতে সে যতীকে ডাক $পাড়ে$ না।
যত ধরনের গালি অাছে সব তোকে দিলাম।,যত ধরনের গালি $অাছে$ সব তোকে দিলাম।
"সেই অভিজ্ঞতা থেকে বলতে পারি, অসুস্থতা থেকে জামাল দ্রুত সেরে ওঠে।","সেই অভিজ্ঞতা থেকে বলতে পারি, অসুস্থতা থেকে জামাল দ্রুত সেরে ওঠে।"
"না, তা হবে না।","না, তা হবে না।"
আলেমদের উপর অর্পিত দায়িত্ব কোন মানুষ কর্তৃক অর্পিত নয় বরং আল্লাহ ও তাঁররাসূলে করীম (দঃ) কর্তৃক নির্ধারিত।,আলেমদের উপর অর্পিত দায়িত্ব কোন মানুষ কর্তৃক অর্পিত নয় বরং আল্লাহ ও $তাঁররাসূলে$ $করীম$ ($দঃ$) কর্তৃক নির্ধারিত।
তানিশা যে স্কুলে পড়ে সেটি শহরের সব থেকে ভালস্কুলগুলোর একটি।,তানিশা যে স্কুলে পড়ে সেটি শহরের সব থেকে $ভালস্কুলগুলোর$ একটি।
তাই একসঙ্গে সড়ক খোঁড়াখুঁড়ির কাজ করা সম্ভব নয় বলে জানান মেয়র।,তাই একসঙ্গে সড়ক খোঁড়াখুঁড়ির কাজ করা সম্ভব নয় বলে জানান মেয়র।
তিনি তা বিনয়ের সাথে প্রত্যাখ্যান করেন।,তিনি তা বিনয়ের সাথে প্রত্যাখ্যান করেন।
উনার শাশুড়ী ছফিনা বিবি খুব রাগ করেন।,উনার $শাশুড়ী$ ছফিনা বিবি খুব রাগ করেন।
দুজন লোক একটা সরু পথে হাঁটছে।,দুজন লোক একটা সরু পথে হাঁটছে।
"তাঁদের পদচারণ ছিল প্যাভিলিয়ন, মিডিয়া বক্স, টিকিট ব্যবস্থাপনা, আইসিসির স্টল—এসব স্থানে।","তাঁদের পদচারণ ছিল প্যাভিলিয়ন, মিডিয়া বক্স, টিকিট ব্যবস্থাপনা, আইসিসির স্টল—এসব স্থানে।"
তখন ব্রিটিশ বিরোধীআন্দোলন এবং জমিদারী প্রথার বিরূদ্ধে সবচেয়ে বলিষ্ঠ ভূমিকা ছিল ছাত্রদের।,তখন $ব্রিটিশ বিরোধী$আন্দোলন এবং জমিদারী প্রথার বিরূদ্ধে সবচেয়ে বলিষ্ঠ ভূমিকা ছিল ছাত্রদের।
সুতরাং নিমরাজি হয়ে মেনে নিয়েছি ব্যাপারটা।,সুতরাং নিমরাজি হয়ে মেনে নিয়েছি ব্যাপারটা।
অনেকের ক্ষেত্রে আবার বয়স বৃদ্ধির সঙ্গে অ্যালার্জিক সংবেদ্যতা ক্রমশ হ্রাস পায়।,অনেকের ক্ষেত্রে আবার বয়স বৃদ্ধির সঙ্গে অ্যালার্জিক সংবেদ্যতা ক্রমশ হ্রাস পায়।
টসে জিতে বাংলাদেশ অধিনায়ক মাশরাফি বিন মুর্তজা আগে ব্যাটিং করার সিদ্ধান্ত নিয়েছেন।,টসে জিতে বাংলাদেশ অধিনায়ক মাশরাফি বিন মুর্তজা আগে ব্যাটিং করার সিদ্ধান্ত নিয়েছেন।
চুম্বকীয় অসঙ্গতির রিপোর্টগুলি সাইট জুড়ে সঙ্গতি দেখায়নি।,চুম্বকীয় $অসঙ্গতির$ $রিপোর্টগুলি$ $সাইট জুড়ে$ $সঙ্গতি$ দেখায়নি।
অনেক সন্ধানে বাড়ির এক কোণ হইতে সংকুচিতা বধূকে বাহির করিয়া আনা হইল।,অনেক সন্ধানে বাড়ির এক কোণ $হইতে$ সংকুচিতা বধূকে $বাহির$ $করিয়া$ আনা $হইল$।
তোমরা মেয়েরা কিন্তু ভারি সন্দিগ্ধ তা বলতে হয়।,তোমরা মেয়েরা কিন্তু ভারি সন্দিগ্ধ$$ তা বলতে হয়।
চিত্ত বাবুর দোকান খুবই পরিচিত।,চিত্ত বাবুর দোকান খুবই পরিচিত$।$
"প্রায় ১০বছর আগে, শীতে এভাবেই বরফ পড়েছিল দার্জিলিং এ।","প্রায় $১০বছর$ আগে, শীতে এভাবেই বরফ পড়েছিল $দার্জিলিং এ$।"
"আপনি আমার সাথে, সরকারের সাথে বিশ্বাসঘাতকতা করেছেন।","আপনি আমার সাথে, সরকারের সাথে বিশ্বাসঘাতকতা করেছেন।"
মানুষ ডাকাত হয় তার দৃষ্টিভঙ্গির কারণে।,মানুষ ডাকাত হয় তার দৃষ্টিভঙ্গির কারণে।
বাকি পথ দু জন নীরবে পার হলাম!,বাকি পথ $দু জন$ নীরবে পার হলাম!
"হক- টু, আমাকে শুনতে পারছেন?","হক- টু, আমাকে শুনতে পারছেন?"
কারণ একটা ছোট্ট সমস্যা আছে।,কারণ একটা ছোট্ট সমস্যা আছে।
ডাক্তারের জন্য কাগজে যে বিজ্ঞাপন দেওয়া হইয়াছিল তার জবাবে দরখাস্ত আসে অনেকগুলি।,ডাক্তারের জন্য কাগজে যে বিজ্ঞাপন দেওয়া $হইয়াছিল$$$ তার জবাবে দরখাস্ত আসে $অনেকগুলি$।
এই স্টেশনটি মেট্রো স্টেশনগুলির নতুন বৈশিষ্ট্যগুলির জন্য একটি পরীক্ষা স্থল।,এই স্টেশনটি মেট্রো $স্টেশনগুলির$ নতুন $বৈশিষ্ট্যগুলির$ জন্য একটি পরীক্ষা স্থল।
ঠিক হলেই চলে আসবে।,ঠিক হলেই চলে আসবে।
বিশ্ব কাবাডি ফেডারেশনের সভাপতি জনার্দন সিং গেহলটের সঙ্গে ওনারই কথা হয়।,বিশ্ব কাবাডি ফেডারেশনের সভাপতি জনার্দন সিং গেহলটের সঙ্গে ওনারই কথা হয়।
সে সন্ধ্যায় খেলা করিয়া বাড়ি ফিরিতেছে।,সে সন্ধ্যায় খেলা $করিয়া$ বাড়ি $ফিরিতেছে$।
তার শেষ খেলাটি ছিল ঐ মাসে প্যারাগুয়ের বিপক্ষে একটি প্রীতি ম্যাচ।,তার শেষ খেলাটি ছিল ঐ মাসে প্যারাগুয়ের বিপক্ষে একটি প্রীতি ম্যাচ।
কথা অবশ্য ঠিক।,কথা অবশ্য ঠিক।
আক্ষরিক অর্থে কবিতার শরীরি অবয়বের সাথে আমার প্রথম এনকাউন্টার ঘটে ১৯৯৬ সালে।,আক্ষরিক অর্থে কবিতার শরীরি অবয়বের সাথে আমার প্রথম এনকাউন্টার ঘটে ১৯৯৬ সালে।
টিনা ছিল আমার ল্যাব সহকর্মী।,টিনা ছিল আমার ল্যাব সহকর্মী।
এ পাগলের সঙ্গে ঝগড়া করিয়া লাভ কী?,এ পাগলের সঙ্গে ঝগড়া $করিয়া$ লাভ কী?
অন্য মেয়ে হলে.- জানি আমি অন্য মেয়ে হইলে জুতা মারত।,অন্য মেয়ে হলে$.-$ জানি আমি$$ অন্য মেয়ে $হইলে$ জুতা মারত।
বাংলা সাহিত্যে আমি জায়গা চাই।,বাংলা সাহিত্যে আমি জায়গা চাই।
"এর একটি দীর্ঘ চূড়া রয়েছে, যার নাম ""ব্রড পিক""।","এর একটি দীর্ঘ চূড়া রয়েছে, যার নাম ""ব্রড পিক""।"
কে আছে প্রাগে?,কে আছে প্রাগে?
এমনকি মুখ থেকে লালাও বের হয় তখন।,এমনকি মুখ থেকে লালাও বের হয় তখন।
নীলার সরলতা তার খুব ভালো লাগে।,নীলার সরলতা তার খুব ভালো লাগে।
পরে নির্বাহী ম্যাজিস্ট্রেট তাঁর পরিচয় দিলে ব্যাংকের কর্মকর্তারা ধাতব মুদ্রাগুলো নেন।,পরে নির্বাহী ম্যাজিস্ট্রেট তাঁর পরিচয় দিলে ব্যাংকের কর্মকর্তারা ধাতব মুদ্রাগুলো নেন।
"তারিক ইবনে শিহাব থেকে সহীহ আল বুখারীর এক বর্ণনায় এসেছে, ইহুদিরা ওমর (রাঃ কে বলল: আপনারা একটি আয়াত পড়েন, যদি তা আমাদের ওপর নাযিল হতো তাহলে এ দিবসে আমরা উৎসব পালন করতাম।","তারিক ইবনে শিহাব থেকে সহীহ আল বুখারীর এক বর্ণনায় এসেছে, ইহুদিরা ওমর $(রাঃ$ কে বলল: আপনারা একটি আয়াত পড়েন, যদি তা আমাদের ওপর নাযিল হতো তাহলে এ দিবসে আমরা উৎসব পালন করতাম।"
সবাই আমার আচরণে অবাক হয়ে দেখে।,সবাই আমার $আচরণে$ অবাক হয়ে দেখে।
"যিশু জানিয়েছেন যে, তিনি ব্যবস্থা ধ্বংস করতে আসেননি কিন্তু তা পরিপূর্ণ করতে এসেছিলেন।","যিশু জানিয়েছেন যে, তিনি ব্যবস্থা ধ্বংস করতে আসেননি$$ কিন্তু তা পরিপূর্ণ করতে এসেছিলেন।"
"আমার এহানে চাইল আছে, ডাইল আছে।","আমার $এহানে$ $চাইল$ আছে, $ডাইল$ আছে।"
তিনি তখন সবেমাত্র আসরের নামায পড়েছেন।,তিনি তখন সবেমাত্র আসরের নামায পড়েছেন।
যাকে পাচ্ছে তাকেই গুতো দিচ্ছে।,যাকে পাচ্ছে তাকেই $গুতো$ দিচ্ছে।
সো আপনার সাথে প্রেম করার সময় আপনি শিখিয়ে দিলেই হবে।,সো আপনার সাথে প্রেম করার সময় আপনি শিখিয়ে দিলেই হবে।
"আমরা এখন একটানে একে লিখে ফেলব ১০৫, কিন্তু ব্যাবিলনীয়দের তো শূন্যের কোন প্রতীক নেই।","আমরা এখন একটানে একে লিখে ফেলব ১০৫, কিন্তু ব্যাবিলনীয়দের তো শূন্যের $কোন$ প্রতীক নেই।"
নিজ মহাদেশের সমর্থন পেলে জিকোর আশার পালে আরও জোর হাওয়া লাগবে।,নিজ মহাদেশের সমর্থন $পেলে জিকোর$ আশার পালে আরও জোর হাওয়া লাগবে।
পাশ করার পর কিছুকাল তিনি কুমিল্লা ভিক্টোরিয়া কলেজে অধ্যাপনা করেছিলেন।,পাশ করার পর কিছুকাল তিনি কুমিল্লা ভিক্টোরিয়া কলেজে অধ্যাপনা করেছিলেন।
আপনি কতবার সিদ্ধান্ত নিয়েছেন যে আমার সাথে আর দেখা করবেন না?,আপনি কতবার সিদ্ধান্ত নিয়েছেন যে আমার সাথে আর দেখা করবেন না?
খানিক পড়ে তীব্র ব্যাথায় জ্ঞান ফেরায় ব্যাথার অনুভুতি আরো বাড়লো।,খানিক পড়ে তীব্র ব্যাথায় জ্ঞান ফেরায় ব্যাথার অনুভুতি $আরো$ $বাড়লো$।
দুই মুরুব্বী নিজেরাই ফ্লোরে বিছানা করে ঘুমিয়ে নিচ্ছেন।,দুই $মুরুব্বী$ নিজেরাই ফ্লোরে বিছানা করে ঘুমিয়ে নিচ্ছেন।
খুব ক্লান্ত লাগছে।,খুব ক্লান্ত লাগছে।
"এবার দৌড়ানোর কথা ছিল না, মৃত্যুর কথা ছিল।","এবার দৌড়ানোর কথা ছিল না, মৃত্যুর কথা ছিল।"
"তিনি বললেন, এটা আবু রাগালের কবর, সে ছামূদ সম্প্রদায়ের লোক।","তিনি বললেন, এটা আবু রাগালের কবর, সে $ছামূদ$ সম্প্রদায়ের লোক।"
"বলতে ভুলে গেছি, ওলা ভাইয়া!","বলতে ভুলে গেছি, ওলা ভাইয়া!"
"বিস্মিত হইয়া কহিল, এ কী?","বিস্মিত $হইয়া$ $কহিল$, এ $কী$$?$"
বলেছিলাম গ্রহটা শান্তিপূর্ণ হতে চলেছে।,বলেছিলাম$$ গ্রহটা শান্তিপূর্ণ হতে চলেছে।
"হুমায়ূন কবিরের স্ত্রী মৌসুমী কবির গণমাধ্যমকে জানান, পিরোজপুরের উদ্দেশে গত শনিবার বিকেল সাড়ে ৩টার দিকে গ্রিনরোডের বাসা থেকে সদরঘাট যান হুমায়ূন।","হুমায়ূন কবিরের স্ত্রী মৌসুমী কবির গণমাধ্যমকে জানান, পিরোজপুরের উদ্দেশে গত শনিবার বিকেল সাড়ে ৩টার দিকে গ্রিনরোডের বাসা থেকে সদরঘাট যান হুমায়ূন।"
সংস্থাটি পূর্বে স্টিলওয়েল ফাইন্যান্সিয়াল ইনকর্পোরেটেড নামে পরিচিত ছিল।,সংস্থাটি পূর্বে স্টিলওয়েল $ফাইন্যান্সিয়াল$ ইনকর্পোরেটেড নামে পরিচিত ছিল।
গণিতে সৃজনশীল প্রশ্নপত্র এবং গ্রামে গণিত শিক্ষকের অভাব নেতিবাচক ফলাফলের অন্যতম কারণ।,গণিতে সৃজনশীল প্রশ্নপত্র এবং গ্রামে গণিত শিক্ষকের অভাব নেতিবাচক ফলাফলের অন্যতম কারণ।
বাংলাদেশের দারুণ জয়ের ক্রিকেটীয় তাৎপর্য ছাপিয়ে তাতে খোঁজার চেষ্টা অন্য কিছু।,বাংলাদেশের দারুণ জয়ের ক্রিকেটীয় তাৎপর্য ছাপিয়ে তাতে খোঁজার চেষ্টা অন্য কিছু।
বছরের প্রথম সকালে হাত দেখে কেঁদে পার করল তিন বছরের ছোট্ট লিমা।,বছরের প্রথম সকালে হাত দেখে কেঁদে পার করল তিন বছরের ছোট্ট লিমা।
তারা তাঁর উপর বড়ই প্রীত।,তারা তাঁর $উপর$ $বড়ই$ প্রীত।
কী যেন একটা পাখি ডেকে উঠেছে।,কী যেন একটা পাখি ডেকে উঠেছে।
লোকটাকে গিয়ে ধরছি আমি।,লোকটাকে গিয়ে ধরছি আমি।
শীতে কাঁপছে তার হাত।,শীতে কাঁপছে তার হাত।
কোনোভাবে সমঝোতা করা যায় না?,কোনোভাবে সমঝোতা করা যায় না?
রাস্তাটি আলেকজান্দ্রা রোড থেকে কেপেল রোড পর্যন্ত বিস্তৃত।,রাস্তাটি আলেকজান্দ্রা রোড থেকে কেপেল রোড পর্যন্ত বিস্তৃত।
